"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"ARC83.IN2-4732","PROV","OPT",17,17,0,0,2.45,1007,62404,"Standard"
"BOWMAN8.IN2-20","PROV","OPT",5,5,0,0,0.01,0,23,"Standard"
"BUXEY.IN2-27","PROV","OPT",13,13,0,0,0.2,128,2026,"Standard"
"BUXEY.IN2-33","PROV","OPT",10,10,0,0,0.3,83,1749,"Standard"
"BUXEY.IN2-36","PROV","OPT",10,10,0,0,0.03,0,170,"Standard"
"BUXEY.IN2-41","PROV","OPT",8,8,0,0,1,617,34367,"Standard"
"BUXEY.IN2-47","PROV","OPT",7,7,0,0,0.38,607,8781,"Standard"
"BUXEY.IN2-54","PROV","OPT",7,7,0,0,0.02,0,102,"Standard"
"GUNTHER.IN2-81","PROV","OPT",6,6,0,0,0.03,0,173,"Standard"
"HAHN.IN2-2004","PROV","OPT",8,8,0,0,0.06,0,214,"Standard"
"HAHN.IN2-2338","PROV","OPT",7,7,0,0,0.05,0,236,"Standard"
"HAHN.IN2-2806","PROV","OPT",6,6,0,0,0.05,0,232,"Standard"
"HAHN.IN2-3507","PROV","OPT",5,5,0,0,0.04,0,252,"Standard"
"HAHN.IN2-4676","PROV","OPT",4,4,0,0,0.03,0,190,"Standard"
"HESKIA.IN2-138","PROV","OPT",8,8,0,0,0.09,0,348,"Standard"
"HESKIA.IN2-205","PROV","OPT",5,5,0,0,0.1,0,209,"Standard"
"HESKIA.IN2-216","PROV","OPT",5,5,0,0,0.02,0,113,"Standard"
"HESKIA.IN2-256","PROV","OPT",4,4,0,0,0.04,0,99,"Standard"
"HESKIA.IN2-324","PROV","OPT",4,4,0,0,0.01,0,78,"Standard"
"HESKIA.IN2-342","PROV","OPT",3,3,0,0,0.03,16,247,"Standard"
"JACKSON.IN2-7","PROV","OPT",8,8,0,0,0.01,0,38,"Standard"
"JACKSON.IN2-9","PROV","OPT",6,6,0,0,0.01,0,32,"Standard"
"JACKSON.IN2-10","PROV","OPT",5,5,0,0,0.02,0,75,"Standard"
"JACKSON.IN2-13","PROV","OPT",4,4,0,0,0.01,0,38,"Standard"
"JACKSON.IN2-14","PROV","OPT",4,4,0,0,0.01,0,37,"Standard"
"JACKSON.IN2-21","PROV","OPT",3,3,0,0,0.01,0,31,"Standard"
"JAESCHKE.IN2-6","PROV","OPT",8,8,0,0,0.01,0,24,"Standard"
"JAESCHKE.IN2-7","PROV","OPT",7,7,0,0,0.01,0,23,"Standard"
"JAESCHKE.IN2-8","PROV","OPT",6,6,0,0,0.01,0,22,"Standard"
"JAESCHKE.IN2-10","PROV","OPT",4,4,0,0,0.01,0,27,"Standard"
"JAESCHKE.IN2-18","PROV","OPT",3,3,0,0,0,0,21,"Standard"
"KILBRID.IN2-57","PROV","OPT",10,10,0,0,0.06,0,307,"Standard"
"KILBRID.IN2-110","PROV","OPT",6,6,0,0,0.04,0,186,"Standard"
"KILBRID.IN2-111","PROV","OPT",5,5,0,0,0.11,0,202,"Standard"
"KILBRID.IN2-138","PROV","OPT",4,4,0,0,0.11,0,237,"Standard"
"KILBRID.IN2-184","PROV","OPT",3,3,0,0,0.11,0,208,"Standard"
"LUTZ1.IN2-1414","PROV","OPT",11,11,0,0,0.05,0,176,"Standard"
"LUTZ1.IN2-1572","PROV","OPT",10,10,0,0,0.04,0,141,"Standard"
"LUTZ1.IN2-1768","PROV","OPT",9,9,0,0,0.04,0,166,"Standard"
"LUTZ1.IN2-2020","PROV","OPT",8,8,0,0,0.03,0,155,"Standard"
"LUTZ1.IN2-2357","PROV","OPT",7,7,0,0,0.03,0,122,"Standard"
"LUTZ1.IN2-2828","PROV","OPT",6,6,0,0,0.03,0,136,"Standard"
"LUTZ3.IN2-137","PROV","OPT",13,13,0,0,0.16,0,560,"Standard"
"MANSOOR.IN2-48","PROV","OPT",4,4,0,0,0.01,0,28,"Standard"
"MANSOOR.IN2-62","PROV","OPT",3,3,0,0,0.02,0,70,"Standard"
"MANSOOR.IN2-94","PROV","OPT",2,2,0,0,0.01,0,19,"Standard"
"MERTENS.IN2-6","PROV","OPT",6,6,0,0,0,0,21,"Standard"
"MERTENS.IN2-7","PROV","OPT",5,5,0,0,0,0,15,"Standard"
"MERTENS.IN2-8","PROV","OPT",5,5,0,0,0,0,14,"Standard"
"MERTENS.IN2-10","PROV","OPT",3,3,0,0,0.01,0,12,"Standard"
"MERTENS.IN2-15","PROV","OPT",2,2,0,0,0,0,11,"Standard"
"MERTENS.IN2-18","PROV","OPT",2,2,0,0,0,0,10,"Standard"
"MITCHELL.IN2-14","PROV","OPT",8,8,0,0,0.07,0,123,"Standard"
"MITCHELL.IN2-15","PROV","OPT",8,8,0,0,0.02,0,128,"Standard"
"MITCHELL.IN2-21","PROV","OPT",5,5,0,0,0.04,0,111,"Standard"
