"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"JACKSON.IN2-7","PROV","OPT",8,8,0,0,0.01,0,38,"Standard"
"JACKSON.IN2-9","PROV","OPT",6,6,0,0,0.01,0,32,"Standard"
"JACKSON.IN2-10","PROV","OPT",5,5,0,0,0.02,0,75,"Standard"
"JACKSON.IN2-13","PROV","OPT",4,4,0,0,0.01,0,38,"Standard"
"JACKSON.IN2-14","PROV","OPT",4,4,0,0,0.01,0,37,"Standard"
"JACKSON.IN2-21","PROV","OPT",3,3,0,0,0.01,0,31,"Standard"
"JAESCHKE.IN2-6","PROV","OPT",8,8,0,0,0.01,0,24,"Standard"
"JAESCHKE.IN2-7","PROV","OPT",7,7,0,0,0.01,0,23,"Standard"
"JAESCHKE.IN2-8","PROV","OPT",6,6,0,0,0.01,0,22,"Standard"
"JAESCHKE.IN2-10","PROV","OPT",4,4,0,0,0.01,0,27,"Standard"
"JAESCHKE.IN2-18","PROV","OPT",3,3,0,0,0,0,21,"Standard"
"LUTZ1.IN2-1414","PROV","OPT",11,11,0,0,0.05,0,176,"Standard"
"MANSOOR.IN2-48","PROV","OPT",4,4,0,0,0.01,0,28,"Standard"
"MANSOOR.IN2-62","PROV","OPT",3,3,0,0,0.02,0,70,"Standard"
"MANSOOR.IN2-94","PROV","OPT",2,2,0,0,0.01,0,19,"Standard"
"MERTENS.IN2-6","PROV","OPT",6,6,0,0,0,0,21,"Standard"
"MERTENS.IN2-7","PROV","OPT",5,5,0,0,0,0,15,"Standard"
"MERTENS.IN2-8","PROV","OPT",5,5,0,0,0,0,14,"Standard"
"MERTENS.IN2-10","PROV","OPT",3,3,0,0,0.01,0,12,"Standard"
"MERTENS.IN2-15","PROV","OPT",2,2,0,0,0,0,11,"Standard"
"MERTENS.IN2-18","PROV","OPT",2,2,0,0,0,0,10,"Standard"
"MITCHELL.IN2-21","PROV","OPT",5,5,0,0,0.04,0,111,"Standard"
"MITCHELL.IN2-26","PROV","OPT",5,5,0,0,0.01,0,91,"Standard"
"MITCHELL.IN2-35","PROV","OPT",3,3,0,0,0.02,0,103,"Standard"
"MITCHELL.IN2-39","PROV","OPT",3,3,0,0,0.01,0,82,"Standard"
"SAWYER30.IN2-27","PROV","OPT",13,13,0,0,0.27,86,2563,"Standard"
"SAWYER30.IN2-33","PROV","OPT",10,10,0,0,0.16,0,223,"Standard"
"SAWYER30.IN2-41","PROV","OPT",8,8,0,0,0.08,0,194,"Standard"
"SAWYER30.IN2-47","PROV","OPT",7,7,0,0,0.08,0,194,"Standard"
"SAWYER30.IN2-54","PROV","OPT",6,6,0,0,0.21,401,4009,"Standard"
"SAWYER30.IN2-75","PROV","OPT",5,5,0,0,0.02,0,120,"Standard"
