name,lb,final_num_stations,time
ARC83.IN2-3786,21,22,54.87
ARC83.IN2-3985,20,22,50.81
ARC83.IN2-4206,19,22,14.08
ARC83.IN2-4454,18,22,3.70
ARC83.IN2-4732,17,22,3.73
ARC83.IN2-5048,16,21,1.79
ARC83.IN2-5408,15,21,1.00
ARC83.IN2-5824,14,21,0.83
ARC83.IN2-5853,14,21,0.89
ARC83.IN2-6309,13,21,0.76
ARC83.IN2-6842,12,21,0.80
ARC83.IN2-6883,12,21,0.87
ARC83.IN2-7571,11,21,0.83
ARC83.IN2-8412,10,21,0.86
ARC83.IN2-8898,9,21,0.88
ARC83.IN2-10816,7,21,0.89
ARC111.IN2-5755,27,TLE,TLE
ARC111.IN2-5785,27,TLE,TLE
ARC111.IN2-6016,26,TLE,TLE
ARC111.IN2-6267,25,TLE,TLE
ARC111.IN2-6540,24,TLE,TLE
ARC111.IN2-6837,23,TLE,TLE
ARC111.IN2-7162,22,TLE,TLE
ARC111.IN2-7520,20,TLE,TLE
ARC111.IN2-7916,20,TLE,TLE
ARC111.IN2-8356,19,TLE,TLE
ARC111.IN2-8847,18,TLE,TLE
ARC111.IN2-9400,17,TLE,TLE
ARC111.IN2-10027,16,TLE,TLE
ARC111.IN2-10743,15,TLE,TLE
ARC111.IN2-11378,14,TLE,TLE
ARC111.IN2-11570,13,TLE,TLE
ARC111.IN2-17067,9,13,2.81
BARTHOL2.IN2-84,51,TLE,TLE
BARTHOL2.IN2-85,50,TLE,TLE
BARTHOL2.IN2-87,49,TLE,TLE
BARTHOL2.IN2-89,48,TLE,TLE
BARTHOL2.IN2-91,47,TLE,TLE
BARTHOL2.IN2-93,46,TLE,TLE
BARTHOL2.IN2-95,45,TLE,TLE
BARTHOL2.IN2-97,44,TLE,TLE
BARTHOL2.IN2-99,43,TLE,TLE
BARTHOL2.IN2-101,42,TLE,TLE
BARTHOL2.IN2-104,41,TLE,TLE
BARTHOL2.IN2-106,40,TLE,TLE
BARTHOL2.IN2-109,39,TLE,TLE
BARTHOL2.IN2-112,38,TLE,TLE
BARTHOL2.IN2-115,37,TLE,TLE
BARTHOL2.IN2-118,36,TLE,TLE
BARTHOL2.IN2-121,35,TLE,TLE
BARTHOL2.IN2-125,34,TLE,TLE
BARTHOL2.IN2-129,33,TLE,TLE
BARTHOL2.IN2-133,32,TLE,TLE
BARTHOL2.IN2-137,31,TLE,TLE
BARTHOL2.IN2-142,30,TLE,TLE
BARTHOL2.IN2-146,29,TLE,TLE
BARTHOL2.IN2-152,28,TLE,TLE
BARTHOL2.IN2-157,27,TLE,TLE
BARTHOL2.IN2-163,26,TLE,TLE
BARTHOL2.IN2-170,25,TLE,TLE
BARTHOLD.IN2-403,14,TLE,TLE
BARTHOLD.IN2-434,13,TLE,TLE
BARTHOLD.IN2-470,12,16,431.24
BARTHOLD.IN2-513,11,16,569.72
BARTHOLD.IN2-564,10,16,663.82
BARTHOLD.IN2-626,9,16,683.44
BARTHOLD.IN2-705,8,16,208.13
BARTHOLD.IN2-805,7,16,93.95
BOWMAN8.IN2-20,5,5,0.11
BUXEY.IN2-27,13,13,3.17
BUXEY.IN2-30,11,11,23.06
BUXEY.IN2-33,10,10,46.77
BUXEY.IN2-36,10,10,0.33
BUXEY.IN2-41,8,8,44.81
BUXEY.IN2-47,7,7,0.84
BUXEY.IN2-54,7,7,0.11
GUNTHER.IN2-41,13,13,8.88
GUNTHER.IN2-44,11,12,40.05
GUNTHER.IN2-49,10,11,46.50
GUNTHER.IN2-54,9,10,16.36
GUNTHER.IN2-61,8,9,2.05
GUNTHER.IN2-69,7,9,4.76
GUNTHER.IN2-81,6,8,0.24
HAHN.IN2-2004,8,13,0.34
HAHN.IN2-2338,7,13,0.28
HAHN.IN2-2806,6,13,0.26
HAHN.IN2-3507,5,13,0.24
HAHN.IN2-4676,4,13,0.24
HESKIA.IN2-138,8,8,0.54
HESKIA.IN2-205,5,TLE,TLE
HESKIA.IN2-216,5,5,0.32
HESKIA.IN2-256,4,5,17.35
HESKIA.IN2-324,4,4,0.12
HESKIA.IN2-342,3,4,0.11
JACKSON.IN2-7,8,8,0.14
JACKSON.IN2-9,6,6,0.15
JACKSON.IN2-10,5,5,0.10
JACKSON.IN2-13,4,4,0.11
JACKSON.IN2-14,4,4,0.11
JACKSON.IN2-21,3,3,0.10
JAESCHKE.IN2-6,8,8,0.11
JAESCHKE.IN2-7,7,7,0.15
JAESCHKE.IN2-8,6,6,0.11
JAESCHKE.IN2-10,4,5,0.12
JAESCHKE.IN2-18,3,3,0.10
KILBRID.IN2-56,10,10,5.09
KILBRID.IN2-57,10,10,1.42
KILBRID.IN2-62,9,9,85.21
KILBRID.IN2-69,8,TLE,TLE
KILBRID.IN2-79,7,8,4.88
KILBRID.IN2-92,6,7,0.57
KILBRID.IN2-110,6,7,0.16
KILBRID.IN2-111,5,7,0.22
KILBRID.IN2-138,4,7,0.13
KILBRID.IN2-184,3,7,0.12
LUTZ1.IN2-1414,11,12,1.11
LUTZ1.IN2-1572,10,12,1.01
LUTZ1.IN2-1768,9,11,0.28
LUTZ1.IN2-2020,8,11,0.13
LUTZ1.IN2-2357,7,11,0.15
LUTZ1.IN2-2828,6,11,0.14
LUTZ2.IN2-11,1,TLE,TLE
LUTZ2.IN2-12,42,TLE,TLE
LUTZ2.IN2-13,39,TLE,TLE
LUTZ2.IN2-14,36,TLE,TLE
LUTZ2.IN2-15,33,TLE,TLE
LUTZ2.IN2-16,31,TLE,TLE
LUTZ2.IN2-17,29,TLE,TLE
LUTZ2.IN2-18,27,TLE,TLE
LUTZ2.IN2-19,26,TLE,TLE
LUTZ2.IN2-20,25,TLE,TLE
LUTZ2.IN2-21,24,25,537.34
LUTZ3.IN2-75,22,26,81.85
LUTZ3.IN2-79,21,26,108.60
LUTZ3.IN2-83,20,25,13.92
LUTZ3.IN2-87,19,25,33.94
LUTZ3.IN2-92,18,25,27.56
LUTZ3.IN2-97,17,25,15.72
LUTZ3.IN2-103,16,24,10.44
LUTZ3.IN2-110,15,24,13.82
LUTZ3.IN2-118,14,24,51.40
LUTZ3.IN2-127,13,24,1.86
LUTZ3.IN2-137,13,24,1.19
LUTZ3.IN2-150,11,24,1.26
MANSOOR.IN2-48,4,5,0.13
MANSOOR.IN2-62,3,4,0.11
MANSOOR.IN2-94,2,3,0.11
MERTENS.IN2-6,6,6,0.11
MERTENS.IN2-7,5,5,0.10
MERTENS.IN2-8,5,5,0.10
MERTENS.IN2-10,3,3,0.11
MERTENS.IN2-15,2,3,0.11
MERTENS.IN2-18,2,2,0.17
MITCHELL.IN2-14,8,8,0.37
MITCHELL.IN2-15,8,8,0.23
MITCHELL.IN2-21,5,7,0.21
MITCHELL.IN2-26,5,6,0.19
MITCHELL.IN2-35,3,6,0.19
MITCHELL.IN2-39,3,6,0.22
MUKHERJE.IN2-176,25,TLE,TLE
MUKHERJE.IN2-183,24,TLE,TLE
MUKHERJE.IN2-192,23,TLE,TLE
MUKHERJE.IN2-201,22,TLE,TLE
MUKHERJE.IN2-211,21,TLE,TLE
MUKHERJE.IN2-222,20,20,154.26
MUKHERJE.IN2-234,19,TLE,TLE
MUKHERJE.IN2-248,18,18,649.44
MUKHERJE.IN2-263,17,17,340.42
MUKHERJE.IN2-281,16,16,315.60
MUKHERJE.IN2-301,15,15,231.93
MUKHERJE.IN2-324,14,14,263.75
MUKHERJE.IN2-351,13,13,14.94
ROSZIEG.IN2-14,10,10,0.37
ROSZIEG.IN2-16,8,8,0.85
ROSZIEG.IN2-18,7,8,0.51
ROSZIEG.IN2-21,6,7,0.22
ROSZIEG.IN2-25,6,6,0.18
ROSZIEG.IN2-32,4,6,0.19
SAWYER30.IN2-25,13,TLE,TLE
SAWYER30.IN2-27,13,13,1.90
SAWYER30.IN2-30,11,11,10.98
SAWYER30.IN2-33,10,10,33.93
SAWYER30.IN2-36,9,9,119.88
SAWYER30.IN2-41,8,8,4.82
SAWYER30.IN2-47,7,7,1.26
SAWYER30.IN2-54,6,7,1.02
SAWYER30.IN2-75,5,6,0.19
SCHOLL.IN2-1394,1,TLE,TLE
SCHOLL.IN2-1422,50,TLE,TLE
SCHOLL.IN2-1452,1,TLE,TLE
SCHOLL.IN2-1483,1,TLE,TLE
SCHOLL.IN2-1515,46,TLE,TLE
SCHOLL.IN2-1548,1,TLE,TLE
SCHOLL.IN2-1584,44,TLE,TLE
SCHOLL.IN2-1620,43,TLE,TLE
SCHOLL.IN2-1659,1,TLE,TLE
SCHOLL.IN2-1699,41,TLE,TLE
SCHOLL.IN2-1742,1,TLE,TLE
SCHOLL.IN2-1787,1,TLE,TLE
SCHOLL.IN2-1834,38,TLE,TLE
SCHOLL.IN2-1883,37,TLE,TLE
SCHOLL.IN2-1935,36,TLE,TLE
SCHOLL.IN2-1991,1,TLE,TLE
SCHOLL.IN2-2049,34,TLE,TLE
SCHOLL.IN2-2111,33,TLE,TLE
SCHOLL.IN2-2177,32,TLE,TLE
SCHOLL.IN2-2247,31,TLE,TLE
SCHOLL.IN2-2322,30,TLE,TLE
SCHOLL.IN2-2402,29,TLE,TLE
SCHOLL.IN2-2488,28,TLE,TLE
SCHOLL.IN2-2580,27,TLE,TLE
SCHOLL.IN2-2680,26,TLE,TLE
SCHOLL.IN2-2787,25,TLE,TLE
TONGE70.IN2-160,22,TLE,TLE
TONGE70.IN2-168,21,TLE,TLE
TONGE70.IN2-176,20,TLE,TLE
TONGE70.IN2-185,19,TLE,TLE
TONGE70.IN2-195,18,TLE,TLE
TONGE70.IN2-207,17,TLE,TLE
TONGE70.IN2-220,16,TLE,TLE
TONGE70.IN2-234,15,TLE,TLE
TONGE70.IN2-251,14,TLE,TLE
TONGE70.IN2-270,13,TLE,TLE
TONGE70.IN2-293,12,TLE,TLE
TONGE70.IN2-320,11,TLE,TLE
TONGE70.IN2-364,10,11,1.34
TONGE70.IN2-410,9,11,0.86
TONGE70.IN2-468,8,11,0.71
TONGE70.IN2-527,7,11,0.43
WARNECKE.IN2-54,30,TLE,TLE
WARNECKE.IN2-56,29,TLE,TLE
WARNECKE.IN2-58,28,TLE,TLE
WARNECKE.IN2-60,27,TLE,TLE
WARNECKE.IN2-62,26,TLE,TLE
