name,lb,ub,final_num_stations,time
ARC83.IN2-3786,21,42,41,900.03
ARC83.IN2-3985,20,40,39,900.03
ARC83.IN2-4206,19,38,38,900.02
ARC83.IN2-4454,18,36,36,900.03
ARC83.IN2-4732,17,34,TLE,TLE
ARC83.IN2-5048,16,32,TLE,TLE
ARC83.IN2-5408,15,30,TLE,TLE
ARC83.IN2-5824,14,28,TLE,TLE
ARC83.IN2-5853,14,28,TLE,TLE
ARC83.IN2-6309,13,26,TLE,TLE
ARC83.IN2-6842,12,24,TLE,TLE
ARC83.IN2-6883,12,24,TLE,TLE
ARC83.IN2-7571,11,22,TLE,TLE
ARC83.IN2-8412,10,20,TLE,TLE
ARC83.IN2-8898,9,18,TLE,TLE
ARC83.IN2-10816,7,14,TLE,TLE
ARC111.IN2-5755,27,54,44,900.04
ARC111.IN2-5785,27,54,41,900.01
ARC111.IN2-6016,26,52,41,900.04
ARC111.IN2-6267,25,50,40,900.01
ARC111.IN2-6540,24,48,39,900.01
ARC111.IN2-6837,23,46,39,900.01
ARC111.IN2-7162,22,44,39,900.01
ARC111.IN2-7520,20,40,34,900.01
ARC111.IN2-7916,20,40,34,900.01
ARC111.IN2-8356,19,38,32,900.01
ARC111.IN2-8847,18,36,29,900.01
ARC111.IN2-9400,17,34,27,900.01
ARC111.IN2-10027,16,32,25,900.03
ARC111.IN2-10743,15,30,25,900.01
ARC111.IN2-11378,14,28,24,900.02
ARC111.IN2-11570,13,26,15,545.27
ARC111.IN2-17067,9,18,13,315.59
BARTHOL2.IN2-84,51,102,100,900.07
BARTHOL2.IN2-85,50,100,97,900.02
BARTHOL2.IN2-87,49,98,93,900.01
BARTHOL2.IN2-89,48,96,88,900.01
BARTHOL2.IN2-91,47,94,79,900.01
BARTHOL2.IN2-93,46,92,77,900.03
BARTHOL2.IN2-95,45,90,80,900.01
BARTHOL2.IN2-97,44,88,75,900.01
BARTHOL2.IN2-99,43,86,72,900.01
BARTHOL2.IN2-101,42,84,70,900.01
BARTHOL2.IN2-104,41,82,67,900.07
BARTHOL2.IN2-106,40,80,64,900.01
BARTHOL2.IN2-109,39,78,61,900.01
BARTHOL2.IN2-112,38,76,60,900.02
BARTHOL2.IN2-115,37,74,57,900.01
BARTHOL2.IN2-118,36,72,54,900.01
BARTHOL2.IN2-121,35,70,53,900.09
BARTHOL2.IN2-125,34,68,50,900.01
BARTHOL2.IN2-129,33,66,47,900.01
BARTHOL2.IN2-133,32,64,44,900.01
BARTHOL2.IN2-137,31,62,40,900.02
BARTHOL2.IN2-142,30,60,39,900.01
BARTHOL2.IN2-146,29,58,37,900.05
BARTHOL2.IN2-152,28,56,35,900.05
BARTHOL2.IN2-157,27,54,34,900.05
BARTHOL2.IN2-163,26,52,33,900.03
BARTHOL2.IN2-170,25,50,26,900.02
BARTHOLD.IN2-403,14,28,16,900.02
BARTHOLD.IN2-434,13,26,16,900.05
BARTHOLD.IN2-470,12,24,16,900.06
BARTHOLD.IN2-513,11,22,16,900.05
BARTHOLD.IN2-564,10,20,16,900.12
BARTHOLD.IN2-626,9,18,16,320.08
BARTHOLD.IN2-705,8,16,16,285.39
BARTHOLD.IN2-805,7,14,16,419.32
BOWMAN8.IN2-20,5,8,5,0.79
BUXEY.IN2-27,13,26,13,6.19
BUXEY.IN2-30,11,22,11,4.91
BUXEY.IN2-33,10,20,10,4.68
BUXEY.IN2-36,10,20,10,4.68
BUXEY.IN2-41,8,16,8,3.51
BUXEY.IN2-47,7,14,7,3.03
BUXEY.IN2-54,7,14,7,3.09
GUNTHER.IN2-41,13,26,13,8.04
GUNTHER.IN2-44,11,22,12,6.04
GUNTHER.IN2-49,10,20,11,5.32
GUNTHER.IN2-54,9,18,10,4.53
GUNTHER.IN2-61,8,16,9,4.03
GUNTHER.IN2-69,7,14,9,3.69
GUNTHER.IN2-81,6,12,8,3.20
HAHN.IN2-2004,8,16,13,138.22
HAHN.IN2-2338,7,14,13,237.42
HAHN.IN2-2806,6,12,13,336.31
HAHN.IN2-3507,5,10,13,356.67
HAHN.IN2-4676,4,8,13,378.86
HESKIA.IN2-138,8,16,8,4.05
HESKIA.IN2-205,5,10,6,5.80
HESKIA.IN2-216,5,10,5,2.55
HESKIA.IN2-256,4,8,5,2.24
HESKIA.IN2-324,4,8,4,2.38
HESKIA.IN2-342,3,6,4,1.83
JACKSON.IN2-7,8,11,8,0.79
JACKSON.IN2-9,6,11,6,1.15
JACKSON.IN2-10,5,10,5,1.14
JACKSON.IN2-13,4,8,4,0.94
JACKSON.IN2-14,4,8,4,0.94
JACKSON.IN2-21,3,6,3,0.76
JAESCHKE.IN2-6,8,9,8,0.40
JAESCHKE.IN2-7,7,9,7,0.63
JAESCHKE.IN2-8,6,9,6,0.95
JAESCHKE.IN2-10,4,8,5,1.20
JAESCHKE.IN2-18,3,6,3,0.89
KILBRID.IN2-56,10,20,10,10.56
KILBRID.IN2-57,10,20,10,11.14
KILBRID.IN2-62,9,18,9,10.50
KILBRID.IN2-69,8,16,9,9.45
KILBRID.IN2-79,7,14,8,7.56
KILBRID.IN2-92,6,12,7,6.75
KILBRID.IN2-110,6,12,7,7.31
KILBRID.IN2-111,5,10,7,6.61
KILBRID.IN2-138,4,8,7,7.32
KILBRID.IN2-184,3,6,7,10.62
LUTZ1.IN2-1414,11,22,12,15.94
LUTZ1.IN2-1572,10,20,12,25.11
LUTZ1.IN2-1768,9,18,11,32.40
LUTZ1.IN2-2020,8,16,11,55.25
LUTZ1.IN2-2357,7,14,11,123.04
LUTZ1.IN2-2828,6,12,11,176.21
LUTZ2.IN2-11,1,89,TLE,TLE
LUTZ2.IN2-12,42,84,42,707.64
LUTZ2.IN2-13,39,78,39,656.01
LUTZ2.IN2-14,36,72,37,900.01
LUTZ2.IN2-15,33,66,34,900.01
LUTZ2.IN2-16,31,62,32,900.03
LUTZ2.IN2-17,29,58,31,900.03
LUTZ2.IN2-18,27,54,28,900.03
LUTZ2.IN2-19,26,52,27,900.04
LUTZ2.IN2-20,25,50,26,900.05
LUTZ2.IN2-21,24,48,25,900.05
LUTZ3.IN2-75,22,44,26,900.02
LUTZ3.IN2-79,21,42,26,900.05
LUTZ3.IN2-83,20,40,25,900.08
LUTZ3.IN2-87,19,38,25,900.01
LUTZ3.IN2-92,18,36,25,900.06
LUTZ3.IN2-97,17,34,25,900.04
LUTZ3.IN2-103,16,32,24,900.09
LUTZ3.IN2-110,15,30,24,900.01
LUTZ3.IN2-118,14,28,24,900.02
LUTZ3.IN2-127,13,26,24,900.09
LUTZ3.IN2-137,13,26,24,900.02
LUTZ3.IN2-150,11,22,24,900.03
MANSOOR.IN2-48,4,8,5,1.00
MANSOOR.IN2-62,3,6,4,0.78
MANSOOR.IN2-94,2,4,3,0.59
MERTENS.IN2-6,6,7,6,0.36
MERTENS.IN2-7,5,7,5,0.55
MERTENS.IN2-8,5,7,5,0.52
MERTENS.IN2-10,3,6,3,0.77
MERTENS.IN2-15,2,4,3,0.55
MERTENS.IN2-18,2,4,2,0.55
MITCHELL.IN2-14,8,16,8,2.18
MITCHELL.IN2-15,8,16,8,2.19
MITCHELL.IN2-21,5,10,7,1.44
MITCHELL.IN2-26,5,10,6,1.42
MITCHELL.IN2-35,3,6,6,1.08
MITCHELL.IN2-39,3,6,6,1.14
MUKHERJE.IN2-176,25,50,25,733.94
MUKHERJE.IN2-183,24,48,24,668.79
MUKHERJE.IN2-192,23,46,23,622.76
MUKHERJE.IN2-201,22,44,26,900.03
MUKHERJE.IN2-211,21,42,21,805.32
MUKHERJE.IN2-222,20,40,20,683.29
MUKHERJE.IN2-234,19,38,19,831.54
MUKHERJE.IN2-248,18,36,18,653.59
MUKHERJE.IN2-263,17,34,17,756.32
MUKHERJE.IN2-281,16,32,16,529.93
MUKHERJE.IN2-301,15,30,15,491.23
MUKHERJE.IN2-324,14,28,14,386.08
MUKHERJE.IN2-351,13,26,13,318.94
ROSZIEG.IN2-14,10,20,10,3.31
ROSZIEG.IN2-16,8,16,8,2.39
ROSZIEG.IN2-18,7,14,8,2.12
ROSZIEG.IN2-21,6,12,7,1.83
ROSZIEG.IN2-25,6,12,6,1.89
ROSZIEG.IN2-32,4,8,6,1.56
SAWYER30.IN2-25,13,26,14,176.44
SAWYER30.IN2-27,13,26,13,6.47
SAWYER30.IN2-30,11,22,11,5.22
SAWYER30.IN2-33,10,20,10,4.33
SAWYER30.IN2-36,9,18,9,3.94
SAWYER30.IN2-41,8,16,8,3.68
SAWYER30.IN2-47,7,14,7,3.02
SAWYER30.IN2-54,6,12,7,2.68
SAWYER30.IN2-75,5,10,6,2.52
SCHOLL.IN2-1394,1,297,TLE,TLE
SCHOLL.IN2-1422,50,100,TLE,TLE
SCHOLL.IN2-1452,1,297,TLE,TLE
SCHOLL.IN2-1483,1,297,TLE,TLE
SCHOLL.IN2-1515,46,92,TLE,TLE
SCHOLL.IN2-1548,1,297,TLE,TLE
SCHOLL.IN2-1584,44,88,TLE,TLE
SCHOLL.IN2-1620,43,86,TLE,TLE
SCHOLL.IN2-1659,1,297,TLE,TLE
SCHOLL.IN2-1699,41,82,TLE,TLE
SCHOLL.IN2-1742,1,297,TLE,TLE
SCHOLL.IN2-1787,1,297,TLE,TLE
SCHOLL.IN2-1834,38,76,TLE,TLE
SCHOLL.IN2-1883,37,74,TLE,TLE
SCHOLL.IN2-1935,36,72,TLE,TLE
SCHOLL.IN2-1991,1,297,TLE,TLE
SCHOLL.IN2-2049,34,68,TLE,TLE
SCHOLL.IN2-2111,33,66,TLE,TLE
SCHOLL.IN2-2177,32,64,TLE,TLE
SCHOLL.IN2-2247,31,62,TLE,TLE
SCHOLL.IN2-2322,30,60,TLE,TLE
SCHOLL.IN2-2402,29,58,TLE,TLE
SCHOLL.IN2-2488,28,56,TLE,TLE
SCHOLL.IN2-2580,27,54,TLE,TLE
SCHOLL.IN2-2680,26,52,TLE,TLE
SCHOLL.IN2-2787,25,50,TLE,TLE
TONGE70.IN2-160,22,44,23,900.03
TONGE70.IN2-168,21,42,22,900.01
TONGE70.IN2-176,20,40,21,900.03
TONGE70.IN2-185,19,38,20,900.01
TONGE70.IN2-195,18,36,19,900.01
TONGE70.IN2-207,17,34,18,900.09
TONGE70.IN2-220,16,32,17,900.02
TONGE70.IN2-234,15,30,16,900.01
TONGE70.IN2-251,14,28,15,900.01
TONGE70.IN2-270,13,26,14,900.05
TONGE70.IN2-293,12,24,12,900.01
TONGE70.IN2-320,11,22,12,900.01
TONGE70.IN2-364,10,20,11,900.01
TONGE70.IN2-410,9,18,11,900.04
TONGE70.IN2-468,8,16,11,900.05
TONGE70.IN2-527,7,14,11,900.03
WARNECKE.IN2-54,30,58,31,900.05
WARNECKE.IN2-56,29,58,29,148.21
WARNECKE.IN2-58,28,56,28,174.11
WARNECKE.IN2-60,27,54,27,132.33
WARNECKE.IN2-62,26,52,27,900.03
