name,lb,final_num_stations,clauses,variables,time
ARC83.IN2-3786,21,TLE,TLE,TLE,TLE
ARC83.IN2-3985,20,TLE,TLE,TLE,TLE
ARC83.IN2-4206,19,TLE,TLE,TLE,TLE
ARC83.IN2-4454,18,TLE,TLE,TLE,TLE
ARC83.IN2-4732,17,TLE,TLE,TLE,TLE
ARC83.IN2-5048,16,TLE,TLE,TLE,TLE
ARC83.IN2-5408,15,TLE,TLE,TLE,TLE
ARC83.IN2-5824,14,TLE,TLE,TLE,TLE
ARC83.IN2-5853,14,TLE,TLE,TLE,TLE
ARC83.IN2-6309,13,TLE,TLE,TLE,TLE
ARC83.IN2-6842,12,TLE,TLE,TLE,TLE
ARC83.IN2-6883,12,TLE,TLE,TLE,TLE
ARC83.IN2-7571,11,TLE,TLE,TLE,TLE
ARC83.IN2-8412,10,TLE,TLE,TLE,TLE
ARC83.IN2-8898,9,TLE,TLE,TLE,TLE
ARC83.IN2-10816,7,TLE,TLE,TLE,TLE
ARC111.IN2-5755,27,27,1609311,665711,366.07
ARC111.IN2-5785,27,27,1613550,668006,739.04
ARC111.IN2-6016,26,26,1545499,645215,637.37
ARC111.IN2-6267,25,25,1467486,616574,634.42
ARC111.IN2-6540,24,24,1402191,594359,142.72
ARC111.IN2-6837,23,23,1330592,568513,72.73
ARC111.IN2-7162,22,22,1260205,542321,135.23
ARC111.IN2-7520,20,21,1198098,520316,295.81
ARC111.IN2-7916,20,20,1129011,494059,245.14
ARC111.IN2-8356,19,19,1112200,492935,209.43
ARC111.IN2-8847,18,18,1042545,464813,173.18
ARC111.IN2-9400,17,17,977951,440129,102.91
ARC111.IN2-10027,16,16,911807,413023,192.86
ARC111.IN2-10743,15,16,909887,412911,44.99
ARC111.IN2-11378,14,15,848541,388244,83.40
ARC111.IN2-11570,13,15,848826,388289,145.16
ARC111.IN2-17067,9,13,759545,357759,177.53
BARTHOL2.IN2-84,51,52,2801024,740011,671.07
BARTHOL2.IN2-85,50,52,2823020,751035,106.88
BARTHOL2.IN2-87,49,51,2787706,758828,119.48
BARTHOL2.IN2-89,48,49,2672510,750581,517.00
BARTHOL2.IN2-91,47,48,2636308,756431,67.51
BARTHOL2.IN2-93,46,47,2600094,761775,132.58
BARTHOL2.IN2-95,45,46,2564648,767003,211.37
BARTHOL2.IN2-97,44,45,2527978,771119,72.32
BARTHOL2.IN2-99,43,44,2491340,774751,60.45
BARTHOL2.IN2-101,42,43,2453986,777525,107.07
BARTHOL2.IN2-104,41,42,2436694,789851,71.13
BARTHOL2.IN2-106,40,41,2398279,791094,233.82
BARTHOL2.IN2-109,39,40,2377988,800919,83.21
BARTHOL2.IN2-112,38,39,2356099,809444,158.55
BARTHOL2.IN2-115,37,38,2332588,816657,68.14
BARTHOL2.IN2-118,36,37,2307505,822583,58.60
BARTHOL2.IN2-121,35,36,2281036,827315,96.79
BARTHOL2.IN2-125,34,35,2269653,839089,59.14
BARTHOL2.IN2-129,33,34,2254178,848333,48.35
BARTHOL2.IN2-133,32,33,2237647,856547,54.01
BARTHOL2.IN2-137,31,32,2216372,861887,45.08
BARTHOL2.IN2-142,30,31,2209580,873982,48.28
BARTHOL2.IN2-146,29,30,2184448,876389,46.99
BARTHOL2.IN2-152,28,29,2185356,891343,45.38
BARTHOL2.IN2-157,27,28,2164352,894823,42.44
BARTHOL2.IN2-163,26,27,2159095,905687,41.91
BARTHOL2.IN2-170,25,26,2155912,917097,62.38
BARTHOLD.IN2-403,14,16,2865108,1374063,149.73
BARTHOLD.IN2-434,13,16,3086612,1484991,200.59
BARTHOLD.IN2-470,12,16,3343044,1613423,260.59
BARTHOLD.IN2-513,11,16,3643556,1763919,329.07
BARTHOLD.IN2-564,10,16,3996164,1940527,411.50
BARTHOLD.IN2-626,9,16,648628,272319,70.69
BARTHOLD.IN2-705,8,16,649460,272783,78.17
BARTHOLD.IN2-805,7,16,682404,295119,88.67
BOWMAN8.IN2-20,5,5,1243,394,0.19
BUXEY.IN2-27,13,13,34453,9359,0.41
BUXEY.IN2-30,11,11,29003,8964,0.50
BUXEY.IN2-33,10,10,27509,9239,0.63
BUXEY.IN2-36,10,10,29749,10369,0.38
BUXEY.IN2-41,8,8,25405,9919,0.42
BUXEY.IN2-47,7,7,24697,10282,0.36
BUXEY.IN2-54,7,7,28176,12046,0.38
GUNTHER.IN2-41,13,13,49708,15131,0.55
GUNTHER.IN2-44,11,12,46283,14927,0.54
GUNTHER.IN2-49,10,11,44090,15223,0.58
GUNTHER.IN2-54,9,10,41625,15259,0.53
GUNTHER.IN2-61,8,9,40040,15614,1.07
GUNTHER.IN2-69,7,9,44018,17639,1.56
GUNTHER.IN2-81,6,8,43315,18319,1.51
HAHN.IN2-2004,8,13,190347,80807,39.61
HAHN.IN2-2338,7,13,200708,85331,44.50
HAHN.IN2-2806,6,13,198641,84473,53.91
HAHN.IN2-3507,5,13,205219,88243,61.22
HAHN.IN2-4676,4,13,210523,90843,70.83
HESKIA.IN2-138,8,8,40044,17327,0.67
HESKIA.IN2-205,5,6,44596,21083,4.87
HESKIA.IN2-216,5,5,39113,18829,0.66
HESKIA.IN2-256,4,5,46743,22729,1.23
HESKIA.IN2-324,4,4,47136,23387,0.80
HESKIA.IN2-342,3,4,49440,24559,1.25
JACKSON.IN2-7,8,8,3763,847,0.23
JACKSON.IN2-9,6,6,2465,683,0.22
JACKSON.IN2-10,5,5,1951,609,0.21
JACKSON.IN2-13,4,4,1683,627,0.21
JACKSON.IN2-14,4,4,1791,683,0.20
JACKSON.IN2-21,3,3,1559,683,0.20
JAESCHKE.IN2-6,8,8,2905,575,0.21
JAESCHKE.IN2-7,7,7,2333,510,0.22
JAESCHKE.IN2-8,6,6,1863,461,0.21
JAESCHKE.IN2-10,4,5,1559,469,0.22
JAESCHKE.IN2-18,3,3,1110,470,0.21
KILBRID.IN2-56,10,10,76755,30619,1.25
KILBRID.IN2-57,10,10,78135,31319,1.21
KILBRID.IN2-62,9,9,74412,31004,1.69
KILBRID.IN2-69,8,9,81909,34775,3.03
KILBRID.IN2-79,7,8,81285,35847,2.11
KILBRID.IN2-92,6,7,81000,36917,2.17
KILBRID.IN2-110,6,7,95308,44106,2.52
KILBRID.IN2-111,5,7,96127,44519,3.36
KILBRID.IN2-138,4,7,116224,54627,4.97
KILBRID.IN2-184,3,7,146849,70055,6.83
LUTZ1.IN2-1414,11,12,81848,33767,2.80
LUTZ1.IN2-1572,10,12,110960,48335,6.16
LUTZ1.IN2-1768,9,11,139281,63700,8.73
LUTZ1.IN2-2020,8,11,205182,96689,29.54
LUTZ1.IN2-2357,7,11,309825,149060,42.88
LUTZ1.IN2-2828,6,11,472064,230229,50.06
LUTZ2.IN2-11,1,TLE,TLE,TLE,TLE
LUTZ2.IN2-12,42,42,684773,60983,95.58
LUTZ2.IN2-13,39,39,605135,60293,33.62
LUTZ2.IN2-14,36,37,558160,61271,20.36
LUTZ2.IN2-15,33,34,487207,60043,109.48
LUTZ2.IN2-16,31,32,445785,60543,16.33
LUTZ2.IN2-17,29,30,405959,60539,817.30
LUTZ2.IN2-18,27,28,368653,60479,15.83
LUTZ2.IN2-19,26,27,354464,62207,5.99
LUTZ2.IN2-20,25,26,341027,63985,28.86
LUTZ2.IN2-21,24,25,325014,64149,8.82
LUTZ3.IN2-75,22,26,644629,216449,39.60
LUTZ3.IN2-79,21,26,674061,231217,48.88
LUTZ3.IN2-83,20,25,666714,235724,48.13
LUTZ3.IN2-87,19,25,694014,249424,59.07
LUTZ3.IN2-92,18,25,727914,266424,66.14
LUTZ3.IN2-97,17,25,762089,283574,77.85
LUTZ3.IN2-103,16,24,763937,292367,78.29
LUTZ3.IN2-110,15,24,810905,315935,100.09
LUTZ3.IN2-118,14,24,864521,342839,100.39
LUTZ3.IN2-127,13,24,924401,372887,119.63
LUTZ3.IN2-137,13,24,990881,406247,123.35
LUTZ3.IN2-150,11,24,1075913,448919,147.69
