"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"ARC83.IN2-3786","PROV","OPT",21,21,0,0,20.9,15247,345918,"Standard"
"ARC83.IN2-3985","PROV","OPT",20,20,0,0,24.74,13401,276185,"Standard"
"ARC83.IN2-4206","PROV","OPT",19,19,0,0,33.5,7827,481566,"Standard"
"ARC83.IN2-4454","PROV","OPT",18,18,0,0,101.68,33006,2016980,"Standard"
"ARC83.IN2-4732","PROV","OPT",17,17,0,0,2.45,1007,62404,"Standard"
"ARC83.IN2-5048","PROV","OPT",16,16,0,0,0.21,0,574,"Standard"
"ARC83.IN2-5408","PROV","OPT",15,15,0,0,0.16,0,549,"Standard"
"ARC83.IN2-5824","PROV","OPT",14,14,0,0,0.17,0,587,"Standard"
"ARC83.IN2-5853","PROV","OPT",14,14,0,0,0.16,0,504,"Standard"
"ARC83.IN2-6309","PROV","OPT",13,13,0,0,0.15,0,458,"Standard"
"ARC83.IN2-6842","PROV","OPT",12,12,0,0,0.12,0,537,"Standard"
"ARC83.IN2-6883","PROV","OPT",12,12,0,0,0.12,0,472,"Standard"
"ARC83.IN2-7571","PROV","OPT",11,11,0,0,0.14,0,544,"Standard"
"ARC83.IN2-8412","PROV","OPT",10,10,0,0,0.15,0,476,"Standard"
"ARC83.IN2-8898","PROV","OPT",9,9,0,0,0.12,0,571,"Standard"
"ARC83.IN2-10816","FEAS","SUB",8,7,1,1,600.04,746510,10579728,"Standard"
"ARC111.IN2-5755","PROV","OPT",27,27,0,0,8.67,669,31856,"Standard"
"ARC111.IN2-5785","PROV","OPT",27,27,0,0,8.69,408,30749,"Standard"
"ARC111.IN2-6016","PROV","OPT",26,26,0,0,5.06,0,4178,"Standard"
"ARC111.IN2-6267","PROV","OPT",25,25,0,0,6,303,17974,"Standard"
"ARC111.IN2-6540","PROV","OPT",24,24,0,0,4.97,211,15956,"Standard"
"ARC111.IN2-6837","PROV","OPT",23,23,0,0,6.85,1539,25331,"Standard"
"ARC111.IN2-7162","PROV","OPT",22,22,0,0,11.34,1282,29766,"Standard"
"ARC111.IN2-7520","FEAS","OPT",21,20,0,0,600.03,591616,5002719,"Standard"
"ARC111.IN2-7916","PROV","OPT",20,20,0,0,0.38,0,1000,"Standard"
"ARC111.IN2-8356","PROV","OPT",19,19,0,0,8.48,2188,39444,"Standard"
"ARC111.IN2-8847","PROV","OPT",18,18,0,0,0.32,0,825,"Standard"
"ARC111.IN2-9400","PROV","OPT",17,17,0,0,0.28,0,746,"Standard"
"ARC111.IN2-10027","PROV","OPT",16,16,0,0,0.26,0,600,"Standard"
"ARC111.IN2-10743","PROV","OPT",15,15,0,0,0.24,0,763,"Standard"
"ARC111.IN2-11378","PROV","OPT",14,14,0,0,0.24,0,745,"Standard"
"ARC111.IN2-11570","FEAS","SUB",14,13,0,1,600.02,777606,8488432,"Standard"
"ARC111.IN2-17067","PROV","OPT",9,9,0,0,0.19,0,712,"Standard"
"BARTHOL2.IN2-84","FEAS","SUB",52,51,0,1,600.01,87312,1316708,"Standard"
"BARTHOL2.IN2-85","FEAS","SUB",51,50,0,1,600.04,43765,1922418,"Standard"
"BARTHOL2.IN2-87","FEAS","SUB",50,49,0,1,600.01,21204,1423899,"Standard"
"BARTHOL2.IN2-89","FEAS","SUB",53,48,0,5,600.01,14324,1401397,"Standard"
"BARTHOL2.IN2-91","FEAS","SUB",48,47,0,1,600.11,168742,1612678,"Standard"
"BARTHOL2.IN2-93","FEAS","SUB",47,46,0,1,600.09,169385,2266513,"Standard"
"BARTHOL2.IN2-95","FEAS","SUB",46,45,0,1,600.21,58407,3604759,"Standard"
"BARTHOL2.IN2-97","FEAS","SUB",45,44,0,1,600.09,306525,2119931,"Standard"
"BARTHOL2.IN2-99","FEAS","SUB",44,43,0,1,600.01,88864,1360298,"Standard"
"BARTHOL2.IN2-101","FEAS","SUB",59,42,16,17,600.09,27347,1734842,"Standard"
"BARTHOL2.IN2-104","FEAS","SUB",42,41,0,1,600.03,94410,1761286,"Standard"
"BARTHOL2.IN2-106","FEAS","SUB",41,40,0,1,600.02,98024,1728070,"Standard"
"BARTHOL2.IN2-109","FEAS","SUB",40,39,0,1,600.1,140285,1443646,"Standard"
"BARTHOL2.IN2-112","FEAS","SUB",39,38,0,1,600.03,138719,2209965,"Standard"
"BARTHOL2.IN2-115","FEAS","SUB",38,37,0,1,600.1,209614,2395864,"Standard"
"BARTHOL2.IN2-118","FEAS","SUB",37,36,0,1,600.16,184087,3455308,"Standard"
"BARTHOL2.IN2-121","FEAS","SUB",36,35,0,1,600.02,200868,2221729,"Standard"
"BARTHOL2.IN2-125","FEAS","SUB",35,34,0,1,600.08,305147,2348114,"Standard"
"BARTHOL2.IN2-129","FEAS","SUB",34,33,0,1,600.1,199121,4556316,"Standard"
"BARTHOL2.IN2-133","FEAS","SUB",33,32,0,1,600.07,272653,1857462,"Standard"
"BARTHOL2.IN2-137","FEAS","SUB",32,31,0,1,600.03,234209,2888423,"Standard"
"BARTHOL2.IN2-142","PROV","OPT",30,30,0,0,223.49,92750,843301,"Standard"
"BARTHOL2.IN2-146","FEAS","SUB",30,29,0,1,600.02,186009,2232823,"Standard"
"BARTHOL2.IN2-152","PROV","OPT",28,28,0,0,390.79,201351,1451167,"Standard"
"BARTHOL2.IN2-157","FEAS","SUB",28,27,1,1,600.02,229944,4797073,"Standard"
"BARTHOL2.IN2-163","FEAS","SUB",27,26,1,1,600.15,432328,3103592,"Standard"
"BARTHOL2.IN2-170","FEAS","SUB",26,25,1,1,600.03,384788,2493282,"Standard"
"BARTHOLD.IN2-403","PROV","OPT",14,14,0,0,117.85,108325,873149,"Standard"
"BARTHOLD.IN2-434","FEAS","SUB",14,13,1,1,600.02,438616,22520481,"Standard"
"BARTHOLD.IN2-470","PROV","OPT",12,12,0,0,52.99,59623,1190067,"Standard"
"BARTHOLD.IN2-513","PROV","OPT",11,11,0,0,7.81,3239,115881,"Standard"
"BARTHOLD.IN2-564","PROV","OPT",10,10,0,0,5.31,2008,139132,"Standard"
"BARTHOLD.IN2-626","PROV","OPT",9,9,0,0,538.79,1230054,14406254,"Standard"
"BARTHOLD.IN2-705","PROV","OPT",8,8,0,0,9.97,6151,231423,"Standard"
